bucket,intent_satisfaction,predicted_q,replay_size,rolling_reward,scenario,seed,serving_actor_version,slice_a_ratio,step,target_q,td_error,train_step
0,0.6,,,0.10633664697904775,balanced,1,4.0,69.31,50.5,,,
1,0.51,,,0.7053459629369306,balanced,1,6.0,53.17,150.5,,,
2,0.37,,,0.7638659550334503,balanced,1,7.0,47.34,250.5,,,
3,0.25,,,0.7494251334433998,balanced,1,8.0,43.44,350.5,,,
4,0.22,,,0.7181447005045848,balanced,1,9.0,41.77,450.5,,,
5,0.3,,,0.6993001568237923,balanced,1,10.0,44.26,550.5,,,
6,0.38,,,0.7207550576711755,balanced,1,13.0,50.84,650.5,,,
7,0.32,,,0.7515167427477895,balanced,1,14.0,53.21,750.5,,,
8,0.38,,,0.7562860250438342,balanced,1,15.0,51.97,850.5,,,
9,0.42,,,0.6846567240351691,balanced,1,16.0,50.23,950.5,,,
10,0.39,,,0.6298534264451432,balanced,1,17.0,50.25,1050.5,,,
11,0.44,,,0.6279254857197881,balanced,1,18.0,49.3,1150.5,,,
12,0.44,,,0.7486869971110245,balanced,1,20.0,52.92,1250.5,,,
13,0.36,,,0.7416725365205317,balanced,1,21.0,52.07,1350.5,,,
14,0.49,,,0.6766441806186481,balanced,1,22.0,51.4,1450.5,,,
15,0.44,,,0.7397814515732133,balanced,1,23.0,51.96,1550.5,,,
16,0.52,,,0.7317191324913307,balanced,1,24.0,53.44,1650.5,,,
17,0.52,,,0.7794548510418696,balanced,1,25.0,54.78,1750.5,,,
18,0.52,,,0.7037815381048329,balanced,1,27.0,45.19,1850.5,,,
19,0.53,,,0.64883024027291,balanced,1,28.0,46.65,1950.5,,,
20,0.53,,,0.5970090142062398,balanced,1,29.0,46.73,2050.5,,,
21,0.52,,,0.5890387799548389,balanced,1,30.0,45.17,2150.5,,,
22,0.51,,,0.6577443642215725,balanced,1,31.0,46.23,2250.5,,,
23,0.51,,,0.623799700148821,balanced,1,32.0,44.74,2350.5,,,
24,0.53,,,0.718241870080901,balanced,1,35.0,54.84,2450.5,,,
25,0.52,,,0.7549327453613696,balanced,1,36.0,55.74,2550.5,,,
26,0.42,,,0.722946933887264,balanced,1,37.0,53.32,2650.5,,,
27,0.59,,,0.7590667662943555,balanced,1,38.0,55.96,2750.5,,,
28,0.55,,,0.7167521271824215,balanced,1,39.0,55.98,2850.5,,,
29,0.56,,,0.7079101297122362,balanced,1,40.0,55.85,2950.5,,,
30,0.5,,,0.6221710816697714,balanced,1,43.0,46.8,3050.5,,,
31,0.53,,,0.7370159358213312,balanced,1,44.0,45.88,3150.5,,,
32,0.49,,,0.6433555853675975,balanced,1,45.0,45.31,3250.5,,,
33,0.48,,,0.7548358725958592,balanced,1,46.0,44.9,3350.5,,,
34,0.52,,,0.7206504161927937,balanced,1,47.0,45.49,3450.5,,,
35,0.5,,,0.7887530009301071,balanced,1,48.0,44.6,3550.5,,,
36,0.6,,,0.8165243783436248,balanced,1,50.0,57.28,3650.5,,,
37,0.52,,,0.7675453805244518,balanced,1,51.0,56.08,3750.5,,,
38,0.57,,,0.656038043183904,balanced,1,52.0,56.81,3850.5,,,
39,0.57,,,0.7771955577495482,balanced,1,53.0,56.42,3950.5,,,
40,0.58,,,0.7626381997973746,balanced,1,54.0,57.78,4050.5,,,
41,0.64,,,0.7858447718275766,balanced,1,55.0,58.36,4150.5,,,
42,0.55,,,0.7490133800312937,balanced,1,58.0,43.88,4250.5,,,
43,0.51,,,0.7022314707981904,balanced,1,59.0,46.07,4350.5,,,
44,0.49,,,0.6898348864356384,balanced,1,60.0,45.03,4450.5,,,
45,0.56,,,0.7630779347505592,balanced,1,61.0,44.55,4550.5,,,
46,0.54,,,0.7722670657815102,balanced,1,62.0,45.13,4650.5,,,
47,0.56,,,0.7245524860310444,balanced,1,63.0,44.63,4750.5,,,
48,0.6,,,0.773193988659664,balanced,1,66.0,58.06,4850.5,,,
49,0.63,,,0.7653319078619433,balanced,1,67.0,57.23,4950.5,,,
50,0.6,,,0.8364199645485827,balanced,1,68.0,57.93,5050.5,,,
51,0.67,,,0.7922818808727081,balanced,1,69.0,58.16,5150.5,,,
52,0.65,,,0.7443341344566501,balanced,1,70.0,57.08,5250.5,,,
53,0.65,,,0.8067238445239664,balanced,1,71.0,57.47,5350.5,,,
54,0.47,,,0.7943545208526719,balanced,1,73.0,46.26,5450.5,,,
55,0.46,,,0.7614970347461244,balanced,1,74.0,45.6,5550.5,,,
56,0.48,,,0.754832558574448,balanced,1,75.0,46.86,5650.5,,,
57,0.42,,,0.7157325655249914,balanced,1,76.0,46.38,5750.5,,,
58,0.56,,,0.7404316819434937,balanced,1,77.0,45.35,5850.5,,,
59,0.56,,,0.7840865509738832,balanced,1,78.0,45.55,5950.5,,,
60,0.72,,,0.8285815670992358,balanced,1,80.0,58.92,6050.5,,,
61,0.6,,,0.8036674871729413,balanced,1,81.0,57.42,6150.5,,,
62,0.65,,,0.7916789479294897,balanced,1,82.0,59.13,6250.5,,,
63,0.67,,,0.8012422270026995,balanced,1,83.0,59.37,6350.5,,,
64,0.69,,,0.7607451467470683,balanced,1,84.0,58.62,6450.5,,,
65,0.69,,,0.8241860145855474,balanced,1,85.0,58.78,6550.5,,,
66,0.58,,,0.8090991691262804,balanced,1,88.0,45.28,6650.5,,,
67,0.47,,,0.7533461420822254,balanced,1,88.0,46.46,6750.5,,,
68,0.43,,,0.7291570180216964,balanced,1,90.0,47.18,6850.5,,,
69,0.42,,,0.7673643996918147,balanced,1,90.0,46.73,6950.5,,,
70,0.38,,,0.7263234773908598,balanced,1,92.0,47.56,7050.5,,,
71,0.4,,,0.7423094014821758,balanced,1,92.0,46.76,7150.5,,,
72,0.65,,,0.7529625032543982,balanced,1,95.0,59.32,7250.5,,,
73,0.72,,,0.7479026401646057,balanced,1,96.0,59.64,7350.5,,,
74,0.8,,,0.7765151480064635,balanced,1,97.0,59.73,7450.5,,,
